mes,dia,nombre,prioridad,descripcion,imagen,url_wikipedia,etiquetas,oracion
11,1,Todos los Santos,100,"La Festividad de Todos los Santos se celebra el 1 de noviembre. Esta fecha es un homenaje a aquellos que han alcanzado la santidad, pero cuyos nombres no son conocidos. Es un recordatorio de que todos estamos llamados a la santidad. Originalmente, la Iglesia tenía un día dedicado a los mártires. El Papa Bonifacio IV transformó un templo griego en un lugar de culto para 'Todos los Santos'. En el año 8",todos_los_santos.jpg,https://es.wikipedia.org/wiki/D%C3%ADa_de_Todos_los_Santos,,
11,1,Beato Nonio Alvarez Pereira,40,"El Beato Nonio Álvarez Pereira, nacido en el siglo XV, es una figura destacada en la historia de Portugal. Inicialmente, fue un noble comprometido con la defensa del reino, desempeñando un papel clave en la consolidación del país. Después de su vida militar, Nonio se unió a la Orden del Carmelo como hermano oblato, adoptando una vida de pobreza y devoción. Su legado incluye un profundo compromiso ",nonio_alvarez_pereira.jpg,https://es.wikipedia.org/wiki/Nuno_Álvares_Pereira,,
11,1,Beato Rainiero Aretino,40,"El Beato Rainiero Aretino, miembro de la Orden de los Hermanos Menores, vivió en el siglo XIV y es recordado por sus virtudes de humildad y paciencia. Su vida en Borgo Santo Sepolcro, en la actual Italia, fue un testimonio de dedicación franciscana, abrazando la pobreza y sirviendo como modelo de devoción y fe. Rainiero nació en Arezzo y pronto se unió a la orden franciscana, dedicando su vida a lo",rainiero_aretino.jpg,https://es.wikipedia.org/wiki/Raniero_de_Sansepolcro,,
11,1,Beato Ruperto Mayer,40,"El Beato Ruperto Mayeres recordado como un valiente sacerdote jesuita que defendió la fe cristiana durante el régimen nazi en Alemania. Nacido en Munich, dedicó su vida a la comunidad como un ferviente predicador y apoyo de los pobres y trabajadores. Mayer fue perseguido por su oposición al régimen nazi, siendo primero deportado a un campo de concentración y más tarde recluido en un monasterio, inc",ruperto_mayer.jpg,https://es.wikipedia.org/wiki/Rupert_Mayer,,
11,1,Beato Teodoro Jorge Romzsa,40,"El Beato Teodoro Jorge Romzsaes un símbolo de devoción y coraje, conocido por su firmeza en la fe durante las difíciles épocas de persecución en el siglo XX. Nacido el 14 de abril de 1911 en Velikij Bychkiv, Ucrania, fue ordenado obispo de Mukacevo en un periodo de agitación religiosa y política. Durante su episcopado, el Beato Teodoro defendió infatigablemente la fe católica frente a la opresión c",,https://es.wikipedia.org/wiki/Teodoro,,
11,1,San Audomaro de Théouranne,50,"San Audomaro, conocido por su dedicación a la renovación de la fe cristiana en Flandes, nació en el siglo VII. Como discípulo de san Eustasio de Luxeuil, fue elegido obispo de los Marinos y trabajó incansablemente para reforzar la fe en Théouranne, en la actual Holanda. Su legado perdura a través de las comunidades cristianas que ayudó a consolidar. Cada 1 de noviembre, su vida y obra son celebrad",audomaro_de_theouranne.jpg,https://es.wikipedia.org/wiki/Audomar_de_Thérouanne,,
11,1,San Austremonio de Avernia,50,"San Austremonio de Avernia es venerado como el primer obispo de Clermont-Ferrand, en la moderna región de Auvernia, Francia. Según la tradición, fue uno de los primeros en predicar el cristianismo en esta área, llevando la palabra de salvación a sus habitantes. Su festividad se celebra el 1 de noviembre, un día que marca su contribución al crecimiento espiritual de la región. Se cree que San Austr",austremonio_de_avernia.jpg,https://es.wikipedia.org/wiki/Austremonio,,
11,1,San Benigno de Dijón,50,"San Benigno de Dijon, un destacado presbítero y mártir del cristianismo, es recordado por su entrega y devoción en la Galia Lugdunense. Su festividad se celebra el1 de noviembre, un día para honrar su sacrificio y compromiso con la fe cristiana. San Benigno es una figura central entre los santos de nombre Benigno, que también incluyen a San Benigno de Milán y San Benigno de Todi. La devoción hacia",benigno_de_dijon.jpg,https://es.wikipedia.org/wiki/Benigno_de_Dijon,,
11,1,San Cesáreo de Tarracina,50,"San Cesáreo de Tarracina, conocido por su martirio en la costa del Lacio durante el siglo I, es celebrado cada 1 de noviembre. Su historia es un testimonio de fe inquebrantable y dedicación a la causa cristiana. San Cesáreo vivió en una época de persecución contra los cristianos, y su compromiso con la fe le llevó al martirio. Aunque los detalles específicos de su vida son escasos, se le recuerda ",,https://es.wikipedia.org/wiki/San_Cesáreo,,
11,1,San Licinio de Anjou,50,"San Licinio de Anjou, celebrado el1 de noviembre, fue un destacado obispo del siglo VII en la región de Neustria, hoy conocida como Francia. Su devoción y liderazgo espiritual lo hicieron merecedor de la confianza del papa Gregorio I Magno, quien le encomendó la importante misión de guiar a los monjes que se dirigían a Inglaterra. San Licinio vivió en una época de grandes cambios dentro de la Igle",licinio_de_anjou.jpg,https://es.wikipedia.org/wiki/Licinio_de_Angers,,
11,1,San Magno de Milán,50,"San Magno de Milán es venerado como un santo y obispo del siglo VI. Su liderazgo en la Iglesia de Milán dejó una marca significativa en la comunidad cristiana de la época. Celebramos su festividad el1 de noviembre, recordando su dedicación y piedad. San Magno asumió el cargo de obispo en una época de desafíos para la Iglesia. Su sabiduría y fortaleza espiritual guiaron a los fieles a través de tie",magno_de_milan.jpg,https://es.wikipedia.org/wiki/Magno_de_Milán,,
11,1,San Marcelo de París,50,"San Marcelo de París, cuyo liderazgo espiritual marcó el siglo IV, es conocido por su contribución a la difusión del cristianismo en la Galia Lugdunense.Su festividad se celebra el 1 de noviembre, un día en que los fieles recuerdan su devoción y compromiso con la iglesia. Como obispo, San Marcelo jugó un papel crucial en el establecimiento de la iglesia en París, enfrentando desafíos tanto interno",marcelo_de_paris.jpg,https://es.wikipedia.org/wiki/Marcelo_de_París,,
11,1,San Maturino de Larchant,50,"San Maturino de Larchant es recordado como unpresbítero y confesorque vivió en el siglo VII en Larchant, una ciudad del Gatinais Aquitano. Su vida de devoción y servicio lo llevó a ser venerado como santo, y su festividad se celebra el1 de noviembre. San Maturino dedicó su vida a la fe cristiana, sirviendo a su comunidad como presbítero. Su legado perdura a través de los siglos, siendo un ejemplo ",maturino_de_larchant.jpg,https://es.wikipedia.org/wiki/Maturino_de_Larchant,,
11,1,San Pedro del Barco,50,"San Pedro del Barco, nacido en el siglo XII en El Barco, Ávila, es reconocido por su profunda vida de retiro espiritual. Vivió como eremita a orillas del río Tormes, dedicando su vida a la oración y la meditación. Su fiesta se celebra el1 de noviembre, recordando su tránsito a la vida eterna en 1155. San Pedro es un ejemplo de devoción y austeridad, optando por la soledad para acercarse más a Dios",pedro_del_barco.png,https://es.wikipedia.org/wiki/El_Barco_de_Ávila,,
11,1,San Rómulo de Bourges,50,"San Rómulo de Bourges, recordado el 1 de noviembre, fue un destacadoabad y sacerdotedel siglo V en la ciudad de Bourges, Aquitania. Conocido por su devoción y liderazgo espiritual, Rómulo dejó una marca indeleble en la comunidad cristiana de su tiempo. En el contexto del siglo V, un período marcado por la consolidación del cristianismo, San Rómulo desempeñó un papel crucial como líder espiritual e",,https://es.wikipedia.org/wiki/1_de_noviembre,,
11,1,San Severino de Tívoli,50,"San Severino de Tívolies un santo venerado en la tradición cristiana, especialmente conocido por su vida austera en el siglo VI. Vivió como monje en la región del Lacio, en Italia, dedicando su vida a la oración y la contemplación. San Severino es celebrado el1 de noviembre, una fecha que coincide con la festividad de Todos los Santos. A lo largo de los siglos, ha sido una figura inspiradora para ",,https://es.wikipedia.org/wiki/San_Severino,,
11,1,San Vigor de Bayeux,50,"San Vigor de Bayeux, nacido en el siglo VI, es reconocido como un ferviente obispo en la Galia Lugdunense. Como discípulo de San Vedasto, su vida se destacó por su dedicación a la fe cristiana y su liderazgo espiritual en la región. Su festividad se celebra el 1 de noviembre, una fecha que lo vincula con otras conmemoraciones de santos en el calendario litúrgico. Durante su episcopado, San Vigor t",vigor_de_bayeux.jpg,https://es.wikipedia.org/wiki/Vigor_de_Bayeux,,
11,1,Santa Cirenia mártir,50,"Santa Cirenia es una mártir cristiana conocida por su firmeza y amor por la fe. Su memoria se honra el1 de noviembre, una fecha que destaca en el calendario litúrgico. A pesar de las adversidades, su devoción y sacrificio han sido fuente de inspiración para muchos. La historia de Santa Cirenia resalta la fortaleza de quienes defendieron su fe a lo largo de la historia cristiana, recordándonos la i",cirenia_martir.jpg,https://es.wikipedia.org/wiki/María_de_la_Luz_Cirenia_Camacho_González,,
11,2,Todos los fieles difuntos,25,"ElDía de los Fieles Difuntos, celebrado el 2 de noviembre, es una fecha especial en la que los cristianos recuerdan a aquellos que han partido con el signo de la fe. Este día es una oportunidad para ofrecer oraciones y buenas obras para el perdón y la purificación de sus almas. La oración es un acto poderoso que los vivos podemos realizar para ayudar a los difuntos a conseguir la salvación. A menu",todos_los_fieles_difuntos.jpg,https://es.wikipedia.org/wiki/Día_de_los_Fieles_Difuntos,,
11,2,Beata Margarita de Lorena,40,"La Beata Margarita de Lorena, nacida en el siglo XVI, es recordada por su devoción y transformación de duquesa a religiosa. Tras la muerte de su esposo, el duque de Alençon, Margarita decidió dedicar su vida a Dios. Fundó un monasterio de Clarisas en Argentan, Normandía, donde vivió hasta su muerte el 2 de noviembre de 1521. Margarita nació en una noble familia y se casó con el duque de Alençon. Su",margarita_de_lorena.jpg,https://es.wikipedia.org/wiki/Lorena_Velázquez,,
11,2,Beato Juan Bodey,40,"El Beato Juan Bodeyes recordado como un mártir intrépido que defendió su fe católica durante el turbulento reinado de Isabel I en Inglaterra. Nacido en el siglo XVI, Bodey trabajaba como maestro de escuela cuando fue arrestado por rechazar la autoridad espiritual de la reina. Fue condenado a muerte y ejecutado el 2 de noviembre de 1583 en Aodover, Hampshire. Juan Bodey nació en un tiempo de gran te",,https://es.wikipedia.org/wiki/2_de_noviembre,,
11,2,Beato Pío Campidelli,40,"El Beato Pío Campidellinació el 29 de abril de 1869 en Romagna, Italia. Perteneció a la Congregación de la Pasión, dedicando su corta vida a la espiritualidad y el servicio. Falleció el 2 de noviembre de 1889 en Casale, Italia, afectado por una grave enfermedad, pero en plena conformidad con la voluntad divina. Fue beatificado por el Papa Juan Pablo II el 17 de noviembre de 1985, y su festividad se",pio_campidelli.jpg,https://es.wikipedia.org/wiki/Pío_de_San_Luis,,
